,Unnamed: 0,Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,occurence,keywords,key_words_count
0,5,"The Effect of Virtual Humans Making Verbal Communication Mistakes on Learners’ Perspectives of their Credibility, Reliability, and Trustworthiness",J. Stuart; K. Aul; M. D. Bumbach; A. Stephen; A. G. de Siqueira; B. Lok,University of Florida; University of Florida; University of Florida; University of Florida; University of Florida; University of Florida,2022 IEEE Conference on Virtual Reality and 3D User Interfaces (VR),20 Apr 2022,2022,,,455,463,"Simulating real-world experiences in a safe environment has made virtual human medical simulations a common use case for research and interpersonal communication training. Despite the benefits virtual human medical simulations provide, previous work suggests that users struggle to notice when virtual humans make potentially life-threatening verbal communication mistakes inside virtual human medical simulations. In this work, we performed a 2x2 mixed design user study that had learners (n = 80) attempt to identify verbal communication mistakes made by a virtual human acting as a nurse in a virtual desktop environment. A virtual desktop environment was used instead of a head-mounted virtual reality environment due to Covid-19 limitations. The virtual desktop environment experience allowed us to explore how frequently learners identify verbal communication mistakes in virtual human medical simulations and how perceptions of credibility, reliability, and trustworthiness in the virtual human affect learner error recognition rates. We found that learners struggle to identify infrequent virtual human verbal communication mistakes. Additionally, learners with lower initial trustworthiness ratings are more likely to overlook potentially life-threatening mistakes, and virtual human mistakes temporarily lower learner credibility, reliability, and trustworthiness ratings of virtual humans. From these findings, we provide insights on improving virtual human medical simulation design. Developers can use these insights to design virtual simulations for error identification training using virtual humans.",2642-5254,978-1-6654-9617-9,10.1109/VR51125.2022.00065,National Science Foundation; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9756762,Human-centered computing;Empirical studies in HCI,Training;Human computer interaction;Solid modeling;Three-dimensional displays;Medical simulation;Conferences;Computational modeling,biomedical education;computer based training;computer simulation;diseases;epidemics;medical computing;trusted computing;virtual reality,error identification training;learner reliability;learner credibility;life-threatening mistakes;learner error recognition rates;Covid-19 limitations;2x2 mixed design user study;trustworthiness ratings;interpersonal communication training;learner perspectives;virtual human verbal communication mistakes;virtual human medical simulation design;virtual desktop environment experience,,,,33.0,IEEE,20 Apr 2022,,,IEEE,IEEE Conferences,86,"{'trustworthiness', 'reliability', 'credibility', 'mixed', 'reality', 'virtual'}",6
76,42,Towards Artificial Intelligence Driven Immersive Environments in Virtual Reality for Industrial Applications,S. Alsaleh; A. Tepljakov; M. Tamre; E. Petlenkov,"Department of Electrical Power Engineering and Mechatronics, Tallinn University of Technology, Tallinn, Estonia; Department of Computer Systems, Tallinn University of Technology, Tallinn, Estonia; Department of Electrical Power Engineering and Mechatronics, Tallinn University of Technology, Tallinn, Estonia; Department of Computer Systems, Tallinn University of Technology, Tallinn, Estonia",2021 44th International Conference on Telecommunications and Signal Processing (TSP),30 Aug 2021,2021,,,340,345,"Natural interaction plays a significant role in the credibility of the virtual reality (VR) environments; unwanted or unexpected user interaction with the objects in the environment will negatively affect the immersion level for the user. Users have different level of skills when it comes to using VR. Therefore, handcrafting rule-based robust behaviour interaction that adapts to varying abilities of users is an ongoing challenge. In this study, the potential of using a data-driven method allowing researchers to gain insight into user behavioural data is investigated. A VR data replay and annotation method that allows for the analysis and classification of VR collected data through a graphical user interface is introduced. This method is applied to data collected from a VR lab study, including users with different skills in VR. Finally, the system is used to identify unwanted user interaction and Machine learning methods are investigated as an alternative for user interaction classification.",,978-1-6654-2933-7,10.1109/TSP52935.2021.9522676,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9522676,Virtual reality;Immersive environments;Control system;Data-driven;Data annotation;Supervised learning;Machine learning,Annotations;Signal processing algorithms;Virtual reality;Machine learning;Signal processing;Prediction algorithms;Classification algorithms,artificial intelligence;graphical user interfaces;learning (artificial intelligence);virtual reality,unexpected user interaction;immersion level;rule-based robust behaviour interaction;varying abilities;data-driven method;user behavioural data;annotation method;graphical user interface;VR lab study;different skills;unwanted user interaction;user interaction classification;towards artificial intelligence driven immersive environments;virtual reality;industrial applications;natural interaction,,1.0,,16.0,IEEE,30 Aug 2021,,,IEEE,IEEE Conferences,57,"{'immersion', 'virtual', 'reality', 'credibility'}",4
12,112,Measurements of live actor motion in mixed reality interaction,G. Hough; I. Williams; C. Athwal,"Faculty of Technology, Engineering and the Environment; Birmingham City University; Faculty of Technology, Engineering and the Environment; Birmingham City University; Faculty of Technology, Engineering and the Environment; Birmingham City University",2014 IEEE International Symposium on Mixed and Augmented Reality (ISMAR),6 Nov 2014,2014,,,99,104,"This paper presents a method for measuring the magnitude and impact of errors in mixed reality interactions. We define the errors as measurements of hand placement accuracy and consistency within bimanual movement of an interactive virtual object. First, a study is presented which illustrates the amount of variability between the hands and the mean distance of the hands from the surfaces of a common virtual object. The results allow a discussion of the most significant factors which should be considered in the frame of developing realistic mixed reality interaction systems. The degree of error was found to be independent of interaction speed, whilst the size of virtual object and the position of the hands are significant. Second, a further study illustrates how perceptible these errors are to a third person viewer of the interaction (e.g. an audience member). We found that interaction errors arising from the overestimation of an object surface affected the visual credibility for the viewer considerably more than an underestimation of the object. This work is presented within the application of a real-time Interactive Virtual Television Studio, which offers convincing realtime interaction for live TV production. We believe the results and methodology presented here could also be applied for designing, implementing and assessing interaction quality in many other Mixed Reality applications.",,978-1-4799-6184-9,10.1109/ISMAR.2014.6948414,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6948414,Interactive Virtual Studios;Performance Measurement;Interaction Framework;Mixed Reality,Videos;Observers;Virtual reality;Standards;Visualization;Measurement uncertainty,augmented reality,live actor motion measurement;mixed reality interaction system;hand placement accuracy;bimanual movement;interactive virtual object;third person interaction viewer;interactive virtual television studio,,2.0,,,IEEE,6 Nov 2014,,,IEEE,IEEE Conferences,57,"{'mixed', 'virtual', 'reality', 'credibility'}",4
43,184,Evaluation of the potential impact of fully-immersive virtual reality on production engineering curricula,A. Maffei; M. Onori,"Department of Production Engineering, KTH Royal Institute of Technology, Stockholm, Sweden; Department of Production Engineering, KTH Royal Institute of Technology, Stockholm, Sweden",2019 IEEE AFRICON,7 Jul 2020,2019,,,1,5,"Virtual Reality, or VR, is a family of technologies defined in the 60s that aims at mimicking reality through computers with different purposes. VR is usually classified according to the level of user immersion achieved. VR has attracted increasing attention between academic and practitioners during the last decade due to technological progresses that achieved high reliability and relatively low cost. VR potential to visualize information, replace physical presence and stimulate interaction make of this technology an essential part in the toolbox of future engineers. Higher Education Institution must align their curricula to fulfill this purpose. At the same time VR can be a support to enhance the learning process itself. This work analyses the impact of fully-immersive VR technology on an average production engineering curricula based on the educational offer at KTH Royal Institute of Technology in Stockholm, Sweden. The results show that VR has a great potential to shape the production engineering curricula in the coming years both in term of content and design of the learning experiences.",2153-0033,978-1-7281-3289-1,10.1109/AFRICON46755.2019.9133929,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9133929,fully-immersive virtual reality;production engineering;education,Production engineering;Solid modeling;Education;Analytical models;Tools;Planning,computer aided instruction;engineering education;further education;production engineering computing;virtual reality,higher education institution;fully-immersive VR technology;fully-immersive virtual reality;user immersion;production engineering curricula;KTH Royal Institute of Technology;Stockholm;Sweden,,2.0,,18.0,IEEE,7 Jul 2020,,,IEEE,IEEE Conferences,57,"{'reliability', 'immersion', 'virtual', 'reality'}",4
48,168,A Framework of Student's Learning Motivation in Virtual Reality in the History of Animation,K. Cheng; A. M. Zaini; D. C. d. Wong; H. Chong; I. W. H. Lam,"De Institute of Creative Arts and Design, UCSI University, Kuala Lumpur, Malaysia; De Institute of Creative Arts and Design, UCSI University, Kuala Lumpur, Malaysia; De Institute of Creative Arts and Design, UCSI University, Kuala Lumpur, Malaysia; Game Studies Department, University Tunku Abdul Rahman, Selangor, Malaysia; De Institute of Creative Arts and Design, UCSI University, Kuala Lumpur, Malaysia",2022 10th International Conference on Information and Communication Technology (ICoICT),21 Oct 2022,2022,,,70,75,"Virtual reality (VR) is a virtual environment that might be identical to or opposed to the actual world that has a variety of applications, including entertainment (video games), business (virtual meetings) and education (including medical and military training). In an educational context, VR has been used in various subjects but VR has not been applied in learning the “history of animation”. Besides the student's motivation to learn this subject has yet to be explored. This paper presents the preliminary model of VR application in learning the history of animation incorporating the Self-Determination Theory that focuses on two main components, autonomy and relatedness, to achieve the satisfaction of basic learning needs. To verify the preliminary framework, a pilot test that focuses on a qualitative approach included eight students who had learned the history of animation participated in a focus group discussion. They were asked about their motivation for the satisfaction of basic learning needs according to the context of autonomy and relatedness. The discussion session has been transcribed and analysed into four themes, i) excitement ii) self-confidence iii) socially immersive, and iv) practical access. The qualitative findings have given the credibility to be further studied for its reliability and validity through a quantitative approach to implementing VR in learning the “history of animation” in the next phase of this study.",,978-1-6654-8165-6,10.1109/ICoICT55009.2022.9914887,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9914887,Virtual Reality;Learning;History of animation;Self-determination theory,Training;Video games;Solid modeling;Virtual environments;Entertainment industry;Animation;Information and communication technology,computer aided instruction;computer animation;computer games;human factors;virtual reality,student;virtual reality;virtual environment;actual world;video games;virtual meetings;education;including medical training;military training;educational context;preliminary model;VR application;animation incorporating;relatedness;basic learning needs;preliminary framework;focus group discussion,,,,36.0,IEEE,21 Oct 2022,,,IEEE,IEEE Conferences,57,"{'reliability', 'virtual', 'reality', 'credibility'}",4
8,108,6DOF Virtual Reality Dataset and Performance Evaluation of Millimeter Wave vs. Free-Space-Optical Indoor Communications Systems for Lifelike Mobile VR Streaming,J. Chakareski; M. Khan; T. Ropitault; S. Blandino,"New Jersey Institute of Technology, Newark, NJ, USA; New Jersey Institute of Technology, Newark, NJ, USA; Wireless Networks Division, National Institute of Standards and Technology, Gaithersburg, MD, USA; Wireless Networks Division, National Institute of Standards and Technology, Gaithersburg, MD, USA","2020 54th Asilomar Conference on Signals, Systems, and Computers",3 Jun 2021,2020,,,1051,1058,"Dual-connectivity streaming can be a key enabler of next generation 6 Degrees Of Freedom (DOF) Virtual Reality (VR) scene immersion. Indeed, using conventional sub-6 GHz WiFi allows to reliably stream a lower-quality baseline representation of the VR content while emerging communication technologies allow to stream in parallel a high-quality user viewport-specific enhancement representation that synergistically integrates with the baseline representation to deliver high-quality VR immersion. In this paper, we evaluate two candidates emerging technologies, Free Space Optics (FSO) and millimeter-Wave (mmWave), which both offer unprecedented available spectrum and data rates. We formulate an optimization problem to maximize the delivered immersion fidelity of the envisioned dual-connectivity 6DOF VR streaming, which depends on the WiFi and mmWave/FSO link rates, and the computing capabilities of the server and the user’s VR headset. The problem is mixed integer programming and we formulate an optimization framework that captures the optimal solution at lower complexity. To evaluate the performance of the proposed systems, we collect actual 6DOF measurements. Our results demonstrate that both FSO and mmWave technologies can enable streaming of 8K-120 frames-per-second (fps) 6DOF content at high fidelity.",2576-2303,978-0-7381-3126-9,10.1109/IEEECONF51394.2020.9443328,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9443328,,Headphones;Millimeter wave technology;Virtual reality;Streaming media;Complexity theory;Servers;Reliability,free-space optical communication;indoor communication;millimetre wave communication;next generation networks;optimisation;telecommunication computing;virtual reality,mixed integer programming;VR headset;mmWave-FSO link rates;baseline representation;virtual reality scene immersion;next generation 6 degrees of freedom;mobile VR streaming;free-space-optical indoor communications systems;high-quality user viewport;6DOF virtual reality dataset;frames-per-second 6DOF content;mmWave technologies;actual 6DOF measurements;dual-connectivity 6DOF VR;delivered immersion fidelity;optimization problem;unprecedented available spectrum;high-quality VR immersion;communication technologies;VR content;lower-quality baseline representation;WiFi;dual-connectivity streaming;lifelike mobile VR streaming;millimeter wave performance evaluation,,3.0,,31.0,IEEE,3 Jun 2021,,,IEEE,IEEE Conferences,57,"{'mixed', 'immersion', 'virtual', 'reality'}",4
100,53,Interaction techniques using head gaze for virtual reality,R. Atienza; R. Blonna; M. I. Saludares; J. Casimiro; V. Fuentes,"Electrical and Electronics Engineering Institute, University of the Philippines; Electrical and Electronics Engineering Institute, University of the Philippines; Electrical and Electronics Engineering Institute, University of the Philippines; Electrical and Electronics Engineering Institute, University of the Philippines; Electrical and Electronics Engineering Institute, University of the Philippines",2016 IEEE Region 10 Symposium (TENSYMP),25 Jul 2016,2016,,,110,114,"Virtual Reality (VR) has finally caught the attention of major technology companies, giving it a significant boost towards becoming market-ready. VR has the capacity to create profoundly engaging experiences by synthesizing highly detailed sensory input in real time, making games the most obvious applications of VR. While the promises of VR may be exciting due to the problems it can solve and new experiences it can offer, there are still numerous issues to be addressed in order to achieve maximal immersion in VR. In this paper, we present the issues encountered during open testing of our applications on commercially available VR goggles and hand input device. The inability to effectively use the hands and feet to control and navigate the environment degrades the level of immersion of VR. With users preferring reliability over intuitiveness, we explore the use of gaze as a substitute input device. Results of experiments conducted on numerous volunteers showed significant improvement in terms of user control.",,978-1-5090-0931-2,10.1109/TENCONSpring.2016.7519387,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7519387,Virtual Reality;Head Gaze;Gesture Recognition;User Interaction,Games;Avatars;Visualization;Animation;Reliability;Virtual environments,human computer interaction;virtual reality,interaction techniques;head gaze;virtual reality;open testing;VR goggles;hand input device;VR immersion,,25.0,2.0,17.0,IEEE,25 Jul 2016,,,IEEE,IEEE Conferences,57,"{'reliability', 'immersion', 'virtual', 'reality'}",4
39,209,Mystic Tours: Cross-Platform Museum Virtual Tourism Application Using 360-degree Imagery and Virtual Reality Technologies,N. M. Arago; B. Paulino; A. M. De Luna; A. J. Manlapaz; R. M. Palabrica; M. L. Abellera; J. F. C. Quijano; T. M. Amado; V. M. Amon; E. O. Fernandez; M. A. Baccay; E. A. Galido,"Department of Electronics Engineering, Technological University of the Philippines, Manila, Philippines; Department of Electronics Engineering, Technological University of the Philippines, Manila, Philippines; Department of Electronics Engineering, Technological University of the Philippines, Manila, Philippines; Department of Electronics Engineering, Technological University of the Philippines, Manila, Philippines; Department of Electronics Engineering, Technological University of the Philippines, Manila, Philippines; Department of Electronics Engineering, Technological University of the Philippines, Manila, Philippines; Department of Electronics Engineering, Technological University of the Philippines, Manila, Philippines; Department of Electronics Engineering, Technological University of the Philippines, Manila, Philippines; Department of Electronics Engineering, Technological University of the Philippines, Manila, Philippines; Department of Electronics Engineering, Technological University of the Philippines, Manila, Philippines; Department of Electronics Engineering, Technological University of the Philippines, Manila, Philippines; Department of Electronics Engineering, Technological University of the Philippines, Manila, Philippines","2022 IEEE 14th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management (HNICEM)",1 May 2023,2022,,,1,6,"In this paper, the researchers developed a cross-platform virtual tourism application named Mystic Tours that utilizes 360-degree imagery and Virtual Reality (VR) Technologies. Mystic Tours has three (3) main features: navigation, interaction, and perception. For navigation, users can pan, tilt, and zoom the environment to explore the 3D scene, including a map that can easily teleport the user to other parts of the museum. For interaction, users can click on the information icon to open the information canvas consisting of text and images with narration support available in both English and Filipino. For perception, users can view the museum using different perspective modes. For android devices, users can turn on the virtual reality mode and explore the area and interact with objects using the gaze control feature. The proponents of the study implemented data analytics using Unity Analytics to understand the behavioral pattern of the users and make data-driven adjustments and recommendations to museums. For testing, the User Acceptance Test (UAT) was divided into five (5) sections: personal data, web application assessment, android touch assessment, virtual reality mode assessment, and general features assessment. In compliance with ISO 9126, the result showed that the respondents rated the application Excellent Quality (EQ) in terms of functionality, reliability, usability, efficiency, maintainability, and portability. In conclusion, the developed application was highly accepted by the test respondents.",2770-0682,978-1-6654-6493-2,10.1109/HNICEM57413.2022.10109439,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10109439,Virtual Reality;Cross-Platform Application Development;Unity 3D;Android;WebGL;Data Analytics,Measurement;Headphones;Three-dimensional displays;Navigation;ISO Standards;Virtual reality;Museums,,,,,,13.0,IEEE,1 May 2023,,,IEEE,IEEE Conferences,43,"{'reliability', 'virtual', 'reality'}",3
37,259,Fire Detection and Recognition Optimization Based on Virtual Reality Video Image,X. Huang; L. Du,"School of Design and Art, University of South China, Hengyang, China; School of Information Science and Engineering, Qilu Normal University, Jinan, China",IEEE Access,5 May 2020,2020,8.0,,77951,77961,"Fire detection technology based on video images can avoid many flaws in conventional methods and detect fires. To achieve this, the support vector machine (SVM) method in machine learning theory has unique advantages, while rough set (RS) theory and SVM complement each other in application. Thus, a new classifier could be created by organically combining these methods to identify fires and provide fire warnings, yielding excellent noise suppression and promotion. Therefore, in this study, an RS is used as the front-end system for the SVM method, yielding improved performance than only SVM. Recognition time is reduced, and recognition efficiency is improved. Experiments show that the RS-SVM classifier model based on parameter optimization proposed in this paper mitigates deficiencies in overfitting and determining local extremum with excellent reliability and stability, and enhances the forecast accuracy of fires. The method also reduces false fire-detection alarms and uses fire feature selection in virtual reality (VR) video images and fire detection and recognition.",2169-3536,,10.1109/ACCESS.2020.2990224,Key Research and Development Program of Shandong province(grant numbers:2019GSF108010); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9078090,Feature extraction;fire detection;parameter optimization;rough set;support vector machine,Support vector machines;Feature extraction;Image recognition;Kernel;Image color analysis;Optimization;Training,fires;image recognition;learning (artificial intelligence);object detection;rough set theory;support vector machines;video signal processing;virtual reality,recognition optimization;virtual reality video image;fire detection technology;video images;fires;support vector machine method;machine learning theory;rough set theory;fire warnings;excellent noise suppression;SVM method;recognition time;recognition efficiency;RS-SVM classifier model;parameter optimization;false fire-detection alarms;fire feature selection,,14.0,,40.0,CCBY,24 Apr 2020,,,IEEE,IEEE Journals,43,"{'reliability', 'virtual', 'reality'}",3
41,187,Deep Learning for 360° Content Transmission in UAV-Enabled Virtual Reality,M. Chen; W. Saad; C. Yin,"Beijing Laboratory of Advanced Information Network, Beijing University of Posts and Telecommunications, Beijing, China; Wireless@VT, Virginia Tech, Blacksburg, VA, USA; Beijing Laboratory of Advanced Information Network, Beijing University of Posts and Telecommunications, Beijing, China",ICC 2019 - 2019 IEEE International Conference on Communications (ICC),15 Jul 2019,2019,,,1,6,"In this paper, the problem of content caching and transmission is studied for a wireless virtual reality (VR) network in which cellular-connected unmanned aerial vehicles (UAVs) capture videos on live games or sceneries and transmit them to small base stations (SBSs) that service the VR users. To meet the VR delay requirements, the UAVs can extract specific visible content from the original 360° VR data and send this visible content to the users so as to reduce the traffic load over backhaul and radio access links. To further alleviate the UAV-SBS backhaul traffic, the SBSs can also cache the popular contents that users request. This joint content caching and transmission problem is formulated as an optimization problem whose goal is to maximize the users' reliability, defined as the probability that the content transmission delay of each user satisfies the instantaneous VR delay target. To address this problem, a distributed deep learning algorithm that brings together new neural network ideas from liquid state machine (LSM) and echo state networks (ESNs) is proposed. The proposed algorithm enables each SBS to predict the users' reliability so as to find the optimal contents to cache and content transmission format for each cellular-connected UAV. Simulation results show that the proposed algorithm yields 25.4% gain in terms of reliability compared to Q-learning.",1938-1883,978-1-5386-8088-9,10.1109/ICC.2019.8761472,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8761472,,Servers;Computer architecture;IEC Standards;Load management;Control systems;Automation,autonomous aerial vehicles;cache storage;learning (artificial intelligence);mobile robots;neural nets;optimisation;probability;virtual reality,distributed deep learning algorithm;transmission format;Q-learning;UAV enabled virtual reality;wireless virtual reality;base stations;VR delay requirements;UAV-SBS backhaul traffic;content transmission delay;neural network;echo state networks;unmanned aerial vehicles;360° VR data;content caching;VR delay target;liquid state machine;360° content transmission,,6.0,,17.0,IEEE,15 Jul 2019,,,IEEE,IEEE Conferences,43,"{'reliability', 'virtual', 'reality'}",3
