,Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,occurence,keywords,key_words_count
5,"The Effect of Virtual Humans Making Verbal Communication Mistakes on Learners’ Perspectives of their Credibility, Reliability, and Trustworthiness",J. Stuart; K. Aul; M. D. Bumbach; A. Stephen; A. G. de Siqueira; B. Lok,University of Florida; University of Florida; University of Florida; University of Florida; University of Florida; University of Florida,2022 IEEE Conference on Virtual Reality and 3D User Interfaces (VR),20 Apr 2022,2022,,,455,463,"Simulating real-world experiences in a safe environment has made virtual human medical simulations a common use case for research and interpersonal communication training. Despite the benefits virtual human medical simulations provide, previous work suggests that users struggle to notice when virtual humans make potentially life-threatening verbal communication mistakes inside virtual human medical simulations. In this work, we performed a 2x2 mixed design user study that had learners (n = 80) attempt to identify verbal communication mistakes made by a virtual human acting as a nurse in a virtual desktop environment. A virtual desktop environment was used instead of a head-mounted virtual reality environment due to Covid-19 limitations. The virtual desktop environment experience allowed us to explore how frequently learners identify verbal communication mistakes in virtual human medical simulations and how perceptions of credibility, reliability, and trustworthiness in the virtual human affect learner error recognition rates. We found that learners struggle to identify infrequent virtual human verbal communication mistakes. Additionally, learners with lower initial trustworthiness ratings are more likely to overlook potentially life-threatening mistakes, and virtual human mistakes temporarily lower learner credibility, reliability, and trustworthiness ratings of virtual humans. From these findings, we provide insights on improving virtual human medical simulation design. Developers can use these insights to design virtual simulations for error identification training using virtual humans.",2642-5254,978-1-6654-9617-9,10.1109/VR51125.2022.00065,National Science Foundation; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9756762,Human-centered computing;Empirical studies in HCI,Training;Human computer interaction;Solid modeling;Three-dimensional displays;Medical simulation;Conferences;Computational modeling,biomedical education;computer based training;computer simulation;diseases;epidemics;medical computing;trusted computing;virtual reality,error identification training;learner reliability;learner credibility;life-threatening mistakes;learner error recognition rates;Covid-19 limitations;2x2 mixed design user study;trustworthiness ratings;interpersonal communication training;learner perspectives;virtual human verbal communication mistakes;virtual human medical simulation design;virtual desktop environment experience,,,,33.0,IEEE,20 Apr 2022,,,IEEE,IEEE Conferences,57,"{'reliability', 'trustworthiness', 'virtual', 'credibility'}",4
0,Reliability of phantom pain relief in neurorehabilitation using a multimodal virtual reality system,Y. Sano; A. Ichinose; N. Wake; M. Osumi; M. Sumitani; S. -i. Kumagaya; Y. Kuniyoshi,"The Department of Mechano- Informatics, The University of Tokyo, Tokyo, Japan; The Department of Mechano- Informatics, The University of Tokyo, Tokyo, Japan; The Department of Mechano- Informatics, The University of Tokyo, Tokyo, Japan; The Neurorehabilitation Research Center, Kio University, Nara, Japan; The Anesthesiology and Pain Relief Center, The University of Tokyo Hospital, Tokyo, Japan; The Research Center for Advanced Science and Technology, The University of Tokyo, Tokyo, Japan; The Department of Mechano- Informatics, The University of Tokyo, Tokyo, Japan",2015 37th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),5 Nov 2015,2015,,,2482,2485,"The objective of this study is to demonstrate the reliability of relief from phantom limb pain in neurore-habilitation using a multimodal virtual reality system. We have developed a virtual reality rehabilitation system with multimodal sensory feedback and applied it to six patients with brachial plexus avulsion or arm amputation. In an experiment, patients executed a reaching task using a virtual phantom limb displayed in a three-dimensional computer graphic environment manipulated by their real intact limb. The intensity of the phantom limb pain was evaluated through a short-form McGill pain questionnaire. The experiments were conducted twice on different days at more than four-week intervals for each patient. The reliability of our task's ability to relieve pain was demonstrated by the test-retest method, which checks the degree of the relative similarity between the pain reduction rates in two experiments using Fisher's intraclass correlation coefficient (ICC). The ICC was 0.737, indicating sufficient reproducibility of our task. The average of the reduction rates across participants was 50.2%, and it was significantly different from 0 (p <; 0:001). Overall, our findings indicate that neurorehabilitation using our multimodal virtual reality system reduces the phantom limb pain with sufficient reliability.",1558-4615,978-1-4244-9271-8,10.1109/EMBC.2015.7318897,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7318897,,Pain;Phantoms;Virtual reality;Medical treatment;Visualization;Reliability;Mirrors,medical computing;patient rehabilitation;phantoms;reliability;virtual reality,reliability;neurorehabilitation;multimodal virtual reality system;phantom limb pain;virtual reality rehabilitation system;multimodal sensory feedback;virtual phantom limb;McGill pain questionnaire;test-retest method;intraclass correlation coefficient;ICC;reproducibility,Humans;Neurological Rehabilitation;Phantom Limb;User-Computer Interface,8.0,,18.0,IEEE,5 Nov 2015,,,IEEE,IEEE Conferences,43,"{'reliability', 'virtual', 'reality'}",3
62,A Basic Psychophysics Study of Sound Reliability Effects on Audiovisual Integration for Developing New Virtual Reality Device,H. Yu; Q. Wu; M. Zhou; Q. Li; J. Yang; S. Takahashi; Y. Ejima; J. Wu,"Graduate School of Interdisciplinary Science and Engineering in Health Systems, Okayama University, Okayama, Japan; Department of Psychology, Suzhou University of Science and Technology, Suzhou, China; Graduate School of Interdisciplinary Science and Engineering in Health Systems, Okayama University, Okayama, Japan; School of Computer Science and Technology, Changchun University of Science and Technology, Changchun, Jilin Province, China; Graduate School of Interdisciplinary Science and Engineering in Health Systems, Okayama University, Okayama, Japan; Graduate School of Interdisciplinary Science and Engineering in Health Systems, Okayama University, Okayama, Japan; Graduate School of Interdisciplinary Science and Engineering in Health Systems, Okayama University, Okayama, Japan; Graduate School of Interdisciplinary Science and Engineering in Health Systems, Okayama University, Okayama, Japan",2021 IEEE International Conference on Mechatronics and Automation (ICMA),27 Aug 2021,2021,,,1298,1303,"Although visual virtual reality performance was widely investigated by researchers, it remains unclear that whether semantic reliability of sound can also facilitate the visual virtual reality performance. We investigated the behavioral category performance of living and non-living outlined drawings accompany with a semantic reliable or unreliable sound. We evaluate the living and non-living picture category performance under three multisensory semantic conditions: semantic reliable, semantic unreliable and semantic control (mix with semantic reliable and semantic unreliable stimuli). The reaction time results showed that faster category speed for semantic reliable multisensory presentation condition compared with semantic unreliable multisensory presentation condition whatever the outlined drawing was living or non-living. Such result indicated the multisensory integration facilitate the visual category performance. Additionally, non-living category has a significant advantage than living picture category under semantic unreliable multisensory condition, indicated nonliving objects had robust multisensory representation compared with living objects. This study provided potential theory support for developing new audiovisual virtual reality device or application.",2152-744X,978-1-6654-4101-8,10.1109/ICMA52036.2021.9512687,"Japan Society for the Promotion of Science (JSPS) Kakenhi(grant numbers:18K18835,18H01411,18K12149,19KK0099,20K04381,20K07722); National Natural Science Foundation of China(grant numbers:61806025); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9512687,multisensory integration;semantic reliability;semantic category;selective attention,Performance evaluation;Visualization;Mechatronics;Automation;Conferences;Semantics;Virtual reality,audio-visual systems;virtual reality;visual perception,living objects;audiovisual virtual reality device;sound reliability effects;behavioral category performance;semantic reliable sound;multisensory semantic conditions;semantic reliable control;semantic unreliable control;semantic unreliable stimuli;semantic unreliable multisensory presentation condition;multisensory integration;visual category performance;nonliving category;picture category;psychophysics study,,,,29.0,IEEE,27 Aug 2021,,,IEEE,IEEE Conferences,43,"{'reliability', 'virtual', 'reality'}",3
33,On the Reliability of Wireless Virtual Reality at Terahertz (THz) Frequencies,C. Chaccour; R. Amer; B. Zhou; W. Saad,"Wireless@ VT, Bradly Department of Electrical and Computer Engineering, Virginia Tech, Blacksburg, VA, USA; CONNECT, Trinity College, University of Dublin, Ireland; Wireless@ VT, Bradly Department of Electrical and Computer Engineering, Virginia Tech, Blacksburg, VA, USA; Wireless@ VT, Bradly Department of Electrical and Computer Engineering, Virginia Tech, Blacksburg, VA, USA","2019 10th IFIP International Conference on New Technologies, Mobility and Security (NTMS)",15 Jul 2019,2019,,,1,5,"Guaranteeing ultra reliable low latency communications (URLLC) with high data rates for virtual reality (VR) services is a key challenge to enable a dual VR perception: visual and haptic. In this paper, a terahertz (THz) cellular network is considered to provide high-rate VR services, thus enabling a successful visual perception. For this network, guaranteeing URLLC with high rates requires overcoming the uncertainty stemming from the THz channel. To this end, the achievable reliability and latency of VR services over THz links are characterized. In particular, a novel expression for the probability distribution function of the transmission delay is derived as a function of the system parameters. Subsequently, the end-to-end (E2E) delay distribution that takes into account both processing and transmission delay is found and a tractable expression of the reliability of the system is derived as a function of the THz network parameters such as the molecular absorption loss and noise, the transmitted power, and the distance between the VR user and its respective small base station (SBS). Numerical results show the effects of various system parameters such as the bandwidth and the region of non-negligible interference on the reliability of the system. In particular, the results show that THz can deliver rates up to 16.4 Gbps and a reliability of 99.999% (with a delay threshold of 30 ms) provided that the impact of the molecular absorption on the THz links, which substantially limits the communication range of the SBS, is alleviated by densifying the network accordingly.",2157-4960,978-1-7281-1542-9,10.1109/NTMS.2019.8763780,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8763780,virtual reality (VR);terahertz;reliability;ultra reliable low latency communications (URLLC),Reliability;Delays;Wireless communication;Interference;Absorption;Quality of service;Propagation losses,cellular radio;molecular communication (telecommunication);probability;radio links;radiofrequency interference;telecommunication network reliability;virtual reality;visual perception;wireless channels,URLLC;dual VR perception;cellular network;high-rate VR services;THz channel;probability distribution function;transmission delay;molecular absorption loss;ultrareliable low latency communications;visual perception;wireless virtual reality reliability services;THz network parameter links;terahertz cellular network;THz cellular network;end-to-end delay distribution;E2E delay distribution;SBS;small base station;interference;time 30.0 ms,,24.0,,15.0,IEEE,15 Jul 2019,,,IEEE,IEEE Conferences,43,"{'reliability', 'virtual', 'reality'}",3
34,Virtual Reality based test batteries for evaluating Trust and Reliability in Human Machine teams,A. Prasad; R. Agnihotri; G. Ansari,"Department of Information Technology, JSS Academy of Technical Education, Noida, India; Department of Information Technology, JSS Academy of Technical Education, Noida, India; Department of Information Technology, JSS Academy of Technical Education, Noida, India","2022 International Conference on Computing, Communication, and Intelligent Systems (ICCCIS)",9 Feb 2023,2022,,,691,696,"Virtual Reality and Artificial Intelligence studies have interesting loads withinside the issue of all the packages that may be made with it. As they head closer to an excellent greater tech-pushed future, the improvement capabilities are steadily in demand. This has led researchers to find the human dependency and trust on machines in a VR simulation. Human trust is one of the main factors through which they can become more dependent on the machines. If the trust of a person on machines is high, then they can say that humans are more dependent on machines. Physiological sensor data such as electroencephalography (EEG) and galvanic skin response (GSR) are being used to evaluate the trust. In this paper, we proposed an approach which can be used for evaluating the human trust on machines by creating a Virtual Reality based driving simulator in which the player has to follow the path told to them by the machine. In our work, we extracted features using different methods. We did the Fourier analysis to study the spectral amplitude. Time Frequency Representation (TFR) was performed using Morlet Wavelets and Multitaper. Power Spectral Density (PSD) was computed using Welch’s Method and Multitaper. All these methods were analyzed to evaluate the trust in Human Machine teams. Our results indicate that all the frequency bands – delta, theta, alpha, beta, and gamma showed significant features related to trust.",,978-1-6654-6200-6,10.1109/ICCCIS56430.2022.10037599,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10037599,Electroencephalography;trust;Multitaper;Fast Fourier Transform;Welch’s Method;Morlet Wavelets,Wavelet transforms;Time-frequency analysis;Three-dimensional displays;Virtual reality;Games;Feature extraction;Wavelet analysis,artificial intelligence;electroencephalography;feature extraction;Fourier analysis;medical signal processing;time-frequency analysis;virtual reality;wavelet transforms,Artificial Intelligence studies;excellent greater tech-pushed future;human dependency;Human Machine teams;human trust;Virtual Reality,,,,12.0,IEEE,9 Feb 2023,,,IEEE,IEEE Conferences,43,"{'reliability', 'virtual', 'reality'}",3
7,Investigating the Reliability and Validity of Three Novel Virtual Reality Environments With Different Approaches to Simulate Wheelchair Maneuvers,Z. Salimi; M. Ferguson-Pell,"Faculty of Rehabilitation Medicine, University of Alberta, Edmonton, AB, Canada; Faculty of Rehabilitation Medicine, University of Alberta, Edmonton, AB, Canada",IEEE Transactions on Neural Systems and Rehabilitation Engineering,22 Mar 2019,2019,27.0,3.0,514,522,"Wheelchair manoeuvring has received little attention in the literature despite its importance in mobility and performing activities of daily living and its role in developing secondary injuries for wheelchair users. The focus in this paper was technology development with iterative and proof-of-concept testing. Three versions of a wheelchair simulator that were designed and developed for simulating curvilinear wheelchair propulsion in virtual reality were tested for their validity and reliability. The wheelchair simulators comprise a sophisticated wheelchair ergometer in an immersive virtual reality environment and are developed for manual wheelchair propulsion. These simulators all replicate inertia in translation, in addition to taking three approaches for simulating turning. The three systems were then tested and compared with the real world to see how reliable and valid they are; 15 healthy participants were recruited to perform the Illinois Agility Test (IAT) in two sessions that were at least one week apart. The intraclass correlation coefficient and the Pearson correlation coefficient were found for 16 variables to find the test-retest reliability and convergent construct validity of the systems, respectively. Overall, the three systems showed good validity and reliability with the VR_system 2 (mechanical compensation for rotational inertia) having the best scores and the VR_system 3 (software compensation for rotational inertia) having the lowest scores. Also, it was observed that performing IAT in the real world needed fewer pushes and often accompanied more negative pushes. Participants also used longer strokes in the real world compared to virtual reality environment.",1558-0210,,10.1109/TNSRE.2019.2896904,"Canadian Foundation for Innovation, Leading Edge Fund(grant numbers:CFI#30852); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8632936,Construct validity;curvilinear inertia compensation;test-retest reliability;virtual reality;wheelchair ergometer,Wheelchairs;Reliability;Propulsion;Correlation;Turning;Virtual reality;Manuals,biomechanics;biomedical measurement;handicapped aids;injuries;neurophysiology;virtual reality;wheelchairs,simulate wheelchair maneuvers;wheelchair manoeuvring;mobility;wheelchair users;technology development;proof-of-concept testing;wheelchair simulator;curvilinear wheelchair propulsion;immersive virtual reality environment;manual wheelchair propulsion;Illinois Agility Test;test-retest reliability;VR_system 2;rotational inertia;VR_system 3;virtual reality environments;wheelchair ergometer,Activities of Daily Living;Biomechanical Phenomena;Computer Simulation;Energy Metabolism;Equipment Design;Healthy Volunteers;Humans;Mechanical Phenomena;Reproducibility of Results;Virtual Reality;Wheelchairs,3.0,,47.0,IEEE,1 Feb 2019,,,IEEE,IEEE Journals,43,"{'reliability', 'virtual', 'reality'}",3
111,Immersive Virtual Reality in Preserving Historical Tourism,K. A. F. A. Samah; M. N. H. H. Jono; A. -A. C. M. Zulkepli; N. A. Deraman; S. Saad; A. G. Buja; L. S. Riza,"Faculty of Computer and Mathematical Sciences, Universiti Teknologi MARA Cawangan Melaka Kampus Jasin, Melaka, Malaysia; Faculty of Computer and Mathematical Sciences, Universiti Teknologi MARA Cawangan Melaka Kampus Jasin, Melaka, Malaysia; Faculty of Computer and Mathematical Sciences, Universiti Teknologi MARA Cawangan Melaka Kampus Jasin, Melaka, Malaysia; Faculty of Computer and Mathematical Sciences, Universiti Teknologi MARA Cawangan Melaka Kampus Jasin, Melaka, Malaysia; Faculty of Computer and Mathematical Sciences, Universiti Teknologi MARA Cawangan Melaka Kampus Jasin, Melaka, Malaysia; Faculty of Computer and Mathematical Sciences, Universiti Teknologi MARA Cawangan Melaka Kampus Jasin, Melaka, Malaysia; Department of Computer Science Education, Universitas Pendidikan Indonesia, Bandung, Indonesia",2021 IEEE 11th International Conference on System Engineering and Technology (ICSET),30 Nov 2021,2021,,,234,239,"The tourism industry in cultural heritage has been adversely affected by the spread of the virus, Covid-19. This study focuses on preserving the cultural heritage of artifacts and sustaining tourism activities for the history of Hang Tuah Village in Melaka, Malaysia, through immersive virtual reality technology. Tourists can interact within the surrounding village, interact with the artefacts, and experienced more enjoyable learning history using the immersive virtual reality. There is no traveling required, and the exploration at its places is safer due to no Covid-19 exposition and no disturbance to the heritage place. We evaluate the usefulness of immersive virtual using the User Experience Questionnaire that originally has 16 dimensions. Five dimensions are applied: attractiveness, perspicuity, reliability, utility, and novelty. A total number of 17 questionnaires were involved and tested on 35 respondents. As a result, the acceptability reaches ‘high’ with an average mean score of 4.01 or 81.2% from the overall score. With the high acceptance response, we conclude that immersive virtual reality can assist in sustaining the tourism industry to preserve the heritage of Hang Tuah Village.",2470-640X,978-1-6654-3766-0,10.1109/ICSET53708.2021.9612577,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9612577,Hang Tuah Melaka Village;immersive virtual reality;preserving heritage;user experience questionnaire,Three-dimensional displays;Atmospheric measurements;Tourism industry;Virtual reality;Particle measurements;User experience,history;travel industry;user experience;virtual reality,historical tourism;tourism industry;cultural heritage;sustaining tourism activities;Hang Tuah Village;immersive virtual reality technology;enjoyable learning history;Covid-19 exposition;heritage place,,1.0,,21.0,IEEE,30 Nov 2021,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
103,Application of Internet of Things and Virtual Reality Technology in College Physical Education,Y. Ding; Y. Li; L. Cheng,"Department of Physical Education, Northwest University of Political Science and Law, Xi&an, China; Henan Technical College of Construction, Zhengzhou, China; Department of Sports, Sichuan University of Foreign Languages, Chongqing, China",IEEE Access,2 Jun 2020,2020,8.0,,96065,96074,"College physical education is an important component of the higher education system and national health plans. Promoting the scientific and modern construction of the physical education teaching system in colleges and universities is conducive to enhancing the science and effectiveness of higher education. Aiming at the problems of single teaching methods and insufficient long-distance teaching ability in the current physical education teaching process of colleges and universities, based on virtual reality technology, this paper designs and proposes a college physical education virtual reality system consisting of the Internet of Things, cloud platform and mobile client. This system collects relevant data from the Internet of Things and interacts with the virtual reality scene in real time, rendering the scene through the cloud and experiencing virtual reality through the mobile terminal. After the requirements analysis and system framework design of the virtual reality system for physical education in colleges and universities, the system's main functions and data warehouse, software architecture design and system testing process were carried out. Through the analysis of specific trial cases and user feedback information of a college, it shows that the designed virtual reality system of college physical education has good application and promotion effect, and provides a scientific reference for deepening reform of college physical education Suggest.",2169-3536,,10.1109/ACCESS.2020.2992283,"Research on the Joint Development of National Traditional Non-Legacy National Traditional Sports Culture and College Physical Education, 2018 National Social Science Fund Western Project, participants(grant numbers:18XTY006); Foundation Project: Sichuan International Studies University Funding Project in 2017(grant numbers:SISU201743); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9091187,College physical education;Internet of Things;virtual reality;cloud platform,Education;Virtual reality;Solid modeling;Cloud computing;Internet of Things;Computational modeling;Real-time systems,cloud computing;computer aided instruction;data warehouses;distance learning;educational institutions;further education;Internet of Things;mobile computing;physics computing;physics education;teaching;virtual reality,higher education system;colleges;universities;college physical education virtual reality system;system framework design;long-distance teaching ability;Internet of Things;cloud platform;mobile client;scene rendering;data warehouse;software architecture design;system testing process,,49.0,,30.0,CCBY,11 May 2020,,,IEEE,IEEE Journals,29,"{'virtual', 'reality'}",2
108,6DOF Virtual Reality Dataset and Performance Evaluation of Millimeter Wave vs. Free-Space-Optical Indoor Communications Systems for Lifelike Mobile VR Streaming,J. Chakareski; M. Khan; T. Ropitault; S. Blandino,"New Jersey Institute of Technology, Newark, NJ, USA; New Jersey Institute of Technology, Newark, NJ, USA; Wireless Networks Division, National Institute of Standards and Technology, Gaithersburg, MD, USA; Wireless Networks Division, National Institute of Standards and Technology, Gaithersburg, MD, USA","2020 54th Asilomar Conference on Signals, Systems, and Computers",3 Jun 2021,2020,,,1051,1058,"Dual-connectivity streaming can be a key enabler of next generation 6 Degrees Of Freedom (DOF) Virtual Reality (VR) scene immersion. Indeed, using conventional sub-6 GHz WiFi allows to reliably stream a lower-quality baseline representation of the VR content while emerging communication technologies allow to stream in parallel a high-quality user viewport-specific enhancement representation that synergistically integrates with the baseline representation to deliver high-quality VR immersion. In this paper, we evaluate two candidates emerging technologies, Free Space Optics (FSO) and millimeter-Wave (mmWave), which both offer unprecedented available spectrum and data rates. We formulate an optimization problem to maximize the delivered immersion fidelity of the envisioned dual-connectivity 6DOF VR streaming, which depends on the WiFi and mmWave/FSO link rates, and the computing capabilities of the server and the user’s VR headset. The problem is mixed integer programming and we formulate an optimization framework that captures the optimal solution at lower complexity. To evaluate the performance of the proposed systems, we collect actual 6DOF measurements. Our results demonstrate that both FSO and mmWave technologies can enable streaming of 8K-120 frames-per-second (fps) 6DOF content at high fidelity.",2576-2303,978-0-7381-3126-9,10.1109/IEEECONF51394.2020.9443328,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9443328,,Headphones;Millimeter wave technology;Virtual reality;Streaming media;Complexity theory;Servers;Reliability,free-space optical communication;indoor communication;millimetre wave communication;next generation networks;optimisation;telecommunication computing;virtual reality,mixed integer programming;VR headset;mmWave-FSO link rates;baseline representation;virtual reality scene immersion;next generation 6 degrees of freedom;mobile VR streaming;free-space-optical indoor communications systems;high-quality user viewport;6DOF virtual reality dataset;frames-per-second 6DOF content;mmWave technologies;actual 6DOF measurements;dual-connectivity 6DOF VR;delivered immersion fidelity;optimization problem;unprecedented available spectrum;high-quality VR immersion;communication technologies;VR content;lower-quality baseline representation;WiFi;dual-connectivity streaming;lifelike mobile VR streaming;millimeter wave performance evaluation,,3.0,,31.0,IEEE,3 Jun 2021,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
109,Feeling of Presence Maximization: mmWave-Enabled Virtual Reality Meets Deep Reinforcement Learning,P. Yang; T. Q. S. Quek; J. Chen; C. You; X. Cao,"School of Electronic and Information Engineering, Beihang University, Beijing, China; Information Systems Technology and Design, Singapore University of Technology and Design, Singapore; School of Electronic and Information Engineering, Beihang University, Beijing, China; Information Systems Technology and Design, Singapore University of Technology and Design, Singapore; School of Electronic and Information Engineering, Beihang University, Beijing, China",IEEE Transactions on Wireless Communications,10 Nov 2022,2022,21.0,11.0,10005,10019,"This paper investigates the problem of providing ultra-reliable and power-efficient virtual reality (VR) experiences for wireless mobile users. To ensure reliable ultra-high-definition (UHD) video frame delivery to mobile users and enhance their immersive visual experiences, a coordinated multipoint (CoMP) transmission technique and millimeter wave (mmWave) communications are exploited. Owing to user movement and time-varying wireless channels, the wireless VR experience enhancement problem is formulated as a sequence-dependent and mixed-integer problem with a goal of maximizing users’ feeling of presence (FoP) in the virtual world, subject to power consumption constraints on access points (APs) and users’ head-mounted displays (HMDs). The problem, however, is hard to be directly solved due to the lack of users’ accurate tracking information and the sequence-dependent and mixed-integer characteristics. To overcome this challenge, we develop a parallel echo state network (ESN) learning method to predict users’ tracking information by training fresh and historical tracking samples separately collected by APs. With the learnt results, we propose a deep reinforcement learning (DRL) based optimization algorithm to solve the formulated problem. In this algorithm, we implement deep neural networks (DNNs) as a scalable solution to produce integer decision variables and solve a continuous power control problem to criticize the integer decision variables. Finally, the performance of the proposed algorithm is compared with various benchmark algorithms, and the impact of different design parameters is also discussed. Simulation results demonstrate that the proposed algorithm is more 4.14% power-efficient than the benchmark algorithms.",1558-2248,,10.1109/TWC.2022.3181674,"National Natural Science Foundation of China(grant numbers:91738301,61827901); National Research Foundation, Singapore and Infocomm Media Development Authority, under its Future Communications Research and Development Programme; Singapore University of Technology and Design (SUTD) Growth Plan Grant for AI; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9798771,Virtual reality;coordinated multipoint transmission;feeling of presence;parallel echo state network;deep reinforcement learning,Streaming media;Wireless communication;Visualization;Uplink;Servers;Resists;Reliability,deep learning (artificial intelligence);helmet mounted displays;integer programming;mobile radio;reinforcement learning;telecommunication computing;telecommunication network reliability;video communication;virtual reality;wireless channels,access points;benchmark algorithms;continuous power control problem;deep neural networks;deep reinforcement learning;fresh tracking samples;historical tracking samples;immersive visual experiences;integer decision variables;mixed-integer characteristics;mixed-integer problem;optimization algorithm;parallel echo state network learning method;power consumption constraints;reliable ultra high definition video frame delivery;time-varying wireless channels;ultra reliable power efficient;virtual reality meets deep reinforcement learning;virtual world;wireless mobile users;wireless VR experience enhancement problem,,1.0,,53.0,IEEE,16 Jun 2022,,,IEEE,IEEE Journals,29,"{'virtual', 'reality'}",2
